t=2025-11-12T15:24:15+0100 lvl=info msg="no configuration paths supplied"
t=2025-11-12T15:24:15+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Sidney\\AppData\\Local/ngrok/ngrok.yml
t=2025-11-12T15:24:15+0100 lvl=info msg="open config file" path=C:\\Users\\Sidney\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-11-12T15:24:15+0100 lvl=eror msg="unable to evaluate ngrok agent binary path for symlinks" obj=tunnels.session err="The system cannot find the path specified."
t=2025-11-12T15:24:15+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-12T15:24:15+0100 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-12T15:24:15+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-12T15:24:15+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://uncorrectable-lidia-swingingly.ngrok-free.dev
t=2025-11-12T15:24:20+0100 lvl=warn msg="failed to check for update" obj=updater err="Post \"https://update.equinox.io/check\": context deadline exceeded"
t=2025-11-12T15:24:32+0100 lvl=info msg="join connections" obj=join id=78c37541c1fe l=[::1]:3000 r=78.113.30.26:58616
t=2025-11-12T15:32:18+0100 lvl=info msg="join connections" obj=join id=1b5717cf3602 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=90d061de09bd l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=a1fa010768c3 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=5dd60406c0a7 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=71ad4ad1b2a0 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=420b8cb22b60 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=b27453749ccc l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=058c3c364d76 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=32697c3cbc7b l=[::1]:3000 r=78.113.30.26:61019
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=30a53eddd6c7 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:20+0100 lvl=info msg="join connections" obj=join id=daf4967e7491 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:21+0100 lvl=info msg="join connections" obj=join id=cf65d941648d l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:21+0100 lvl=info msg="join connections" obj=join id=d791bdd583cc l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=87f023584605 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=b2f2f3a036e0 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=15fa4a44a1c3 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=4c77f466076e l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=7e3078f0b9b8 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=64499ca844fc l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=564c01219631 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=07e3dce0a81f l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=f9962e5eb938 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:25+0100 lvl=info msg="join connections" obj=join id=f071edbdefaa l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:26+0100 lvl=info msg="join connections" obj=join id=8bca41b4455e l=[::1]:3000 r=78.113.30.26:57955
t=2025-11-12T15:32:26+0100 lvl=info msg="join connections" obj=join id=a1188ad34c95 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:26+0100 lvl=info msg="join connections" obj=join id=9ecfd5a7bc07 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:28+0100 lvl=info msg="join connections" obj=join id=74635986a3e5 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:28+0100 lvl=info msg="join connections" obj=join id=39836cfc9d68 l=[::1]:3000 r=78.113.30.26:59670
t=2025-11-12T15:32:29+0100 lvl=info msg="join connections" obj=join id=ac5bdb692077 l=[::1]:3000 r=78.113.30.26:59670
